Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,274.375,-115.5,-90,bottom
C1,100n,C_0402_1005Metric,276.992158,-85.370012,-45,bottom
C2,100n,C_0402_1005Metric,279.692158,-88.370012,-45,bottom
C3,100n,C_0402_1005Metric,280.375,-89.05,-45,bottom
C4,100n,C_0402_1005Metric,279.231569,-94.370012,45,bottom
C5,100n,C_0402_1005Metric,279.906569,-93.695012,45,bottom
C6,100n,C_0402_1005Metric,270.067158,-85.945012,45,bottom
C7,100n,C_0402_1005Metric,271.917158,-96.095012,-45,bottom
C8,1u,C_0402_1005Metric,281.317158,-91.220012,45,bottom
C9,100n,C_0402_1005Metric,270.742158,-85.270012,45,bottom
C10,100n,C_0402_1005Metric,278.556569,-95.045012,45,bottom
C11,1u,C_0402_1005Metric,280.642158,-91.895012,45,bottom
C12,1u,C_0402_1005Metric,287.737501,-100.0875,0,bottom
C13,1u,C_0402_1005Metric,286.787501,-105.2625,0,bottom
C14,15p,C_0402_1005Metric,266.846878,-84.160965,45,bottom
C15,15p,C_0402_1005Metric,271.510589,-82.785589,45,bottom
C16,100n,C_0402_1005Metric,283.8,-107.65,90,bottom
C17,100n,C_0402_1005Metric,268.95,-93.35,-45,bottom
C18,100n,C_0402_1005Metric,301.475,-116.225,90,bottom
C19,100n,C_0402_1005Metric,306.975,-116.225001,90,bottom
C20,100n,C_0402_1005Metric,312.474999,-116.225001,90,bottom
D1,D_Small,Diode_SOD-123_noref2,53.45625,-42.74375,90,bottom
D2,D_Small,Diode_SOD-123_noref2,72.50625,-42.74375,90,bottom
D3,D_Small,Diode_SOD-123_noref2,91.55625,-42.74375,90,bottom
D4,D_Small,Diode_SOD-123_noref2,110.60625,-42.74375,90,bottom
D5,D_Small,Diode_SOD-123_noref2,129.65625,-42.74375,90,bottom
D6,D_Small,Diode_SOD-123_noref2,150.975,-41.575,90,bottom
D7,D_Small,Diode_SOD-123_noref2,167.75625,-42.74375,90,bottom
D8,D_Small,Diode_SOD-123_noref2,186.80625,-42.74375,90,bottom
D9,D_Small,Diode_SOD-123_noref2,205.85625,-42.74375,90,bottom
D10,D_Small,Diode_SOD-123_noref2,224.90625,-42.74375,90,bottom
D11,D_Small,Diode_SOD-123_noref2,243.95625,-42.74375,90,bottom
D12,D_Small,Diode_SOD-123_noref2,263.00625,-42.74375,90,bottom
D13,D_Small,Diode_SOD-123_noref2,282.05625,-42.74375,90,bottom
D14,D_Small,Diode_SOD-123_noref2,301.10625,-42.74375,90,bottom
D15,D_Small,Diode_SOD-123_noref2,320.15625,-42.74375,90,bottom
D16,D_Small,Diode_SOD-123_noref2,46.55,-61.8,90,bottom
D17,D_Small,Diode_SOD-123_noref2,82.03125,-61.79375,90,bottom
D18,D_Small,Diode_SOD-123_noref2,101.08125,-61.79375,90,bottom
D19,D_Small,Diode_SOD-123_noref2,120.13125,-61.79375,90,bottom
D20,D_Small,Diode_SOD-123_noref2,139.18125,-61.79375,90,bottom
D21,D_Small,Diode_SOD-123_noref2,158.23125,-61.79375,90,bottom
D22,D_Small,Diode_SOD-123_noref2,177.28125,-61.79375,90,bottom
D23,D_Small,Diode_SOD-123_noref2,196.33125,-61.79375,90,bottom
D24,D_Small,Diode_SOD-123_noref2,215.38125,-61.79375,90,bottom
D25,D_Small,Diode_SOD-123_noref2,234.43125,-61.79375,90,bottom
D26,D_Small,Diode_SOD-123_noref2,253.48125,-61.79375,90,bottom
D27,D_Small,Diode_SOD-123_noref2,272.53125,-61.79375,90,bottom
D28,D_Small,Diode_SOD-123_noref2,291.58125,-61.79375,90,bottom
